id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000486,user,教える,客の観光の同行者 客が希望する観光の季節,なし 希望なし,季節はいつでも良いのですが、一人で観光しようと思っています。,一人旅で、どの季節でも構わないです。
u00000709,user,教える,客が希望する交通手段 客が希望する食べ物,未定 魚料理,どうやって行くかはまだ決まっていないんですけど、魚料理が食べたいです。,魚料理を食べる事を目的としています。交通手段はまだ未定です。
u00000715,user,教える,客が希望する交通手段 客が希望する食べ物,徒歩 和食,交通手段は徒歩で、食事は和食が良いです。,食べ物は和食がいいですね。移動は徒歩を希望します。
u00001020,user,教える,客が観光にかけたい時間 客の趣味,30分未満 水族館巡り,水族館巡りが好きなのですが、30分未満で観光を済ませたいです。,30分未満で観光を済ませる事はできないでしょうか。水族館巡りが趣味なのでそちら希望です。
u00000614,user,教える,客の観光の同行者 客の趣味,恋人 パワースポット巡り,パワースポット巡りが趣味なのですが、恋人と行きたいです。,同行者は恋人なのですが、パワースポット巡りが好きなのでどうかなと。
u00000509,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 未定,恋人と行くのですが、どの季節が良いかはまだ未定です。,季節は決まっていないのですが、同行者は恋人です。
u00000877,user,教える,客が希望する食べ物 客が希望する観光の季節,インターネットカフェ 未定,季節はまだ決まっていないんですけど、インターネットカフェでの食事希望です。,インターネットカフェで食事したいと考えています。季節は未定です。
u00001052,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,60分以上90分未満 午後,午後に観光を、60分以上90分未満で終えたいと思っています。,観光時間は60分以上90分未満で午後が良いです。
u00000897,user,教える,客が希望する食べ物 客がインドア派かアウトドア派か,四川料理 特になし,食事は四川料理が食べたいんですけど、観光はインドア派かアウトドア派かというのは特に無いです。,インドア派かアウトドア派かというのは無いですが、食事は四川料理希望です。
u00000645,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 朝,友達と行くのですが、朝に観光したいです。,観光時間は朝で同行者は友達です。
u00000782,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 バス,交通手段はバスで、観光は30分未満で終わらせたいです。,観光にかける時間は30分未満で、バスで移動したいです。
u00000256,user,質問する,観光地のおすすめイベント 観光地の手荷物預かりの有無,? ?,観光地のおすすめイベントとかありますか。あと観光地で手荷物を預かってくれるかを知りたいです。,観光地では手荷物預かりをしていますか。それと観光地でお勧めのイベントが有れば知りたいです。
u00001081,user,教える,客の趣味 客の希望の観光時間帯,離島巡り 日中,趣味は離島巡りなんですけど、観光時間は日中が希望です。,日中に観光したいです。離島巡りが好きなのでそういった観光がしたいです。
u00000834,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 徒歩,交通手段は徒歩で観光時間は朝がいいです。,朝に観光したいと思っています。あとは徒歩で移動したいですね。
u00000030,user,質問する,観光地の広さ,?,観光地はどれくらいの広さがありますか。,観光地の広さはどの程度のものでしょうか。
u00000369,user,教える,客の本日の同行者,女性,一緒に行くのは女性なんです。,同行者は女性です。
u00000882,user,教える,客が希望する食べ物 客が希望する観光の季節,チーズタッカルビ 冬,冬に観光したいです。食事はチーズタッカルビ希望です。,食べ物はチーズタッカルビが食べたいです。観光の季節は冬がいいですね。
u00001030,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 未定,どの時間帯の観光が良いのかはまだ決まっていません。観光にかけたい時間も希望は無いです。,観光にかける時間はどれ位が良いとかは無いです。観光する時間帯もまだ決まっていません。
u00000660,user,教える,客の観光の同行者 客の希望の観光時間帯,家族 夜,家族と一緒に夜、観光したいと思います。,観光は夜に家族を連れて行きたいです。
u00000796,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 バス,交通手段はバスで、60分以上90分未満の観光にしたいです。,観光にかける時間は60分以上90分未満で、バス移動希望です。
