id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000761,user,教える,客が希望する観光ジャンル 客が希望する交通手段,工場・施設見学 バス,バスに乗って、工場の施設見学に行きたいです。,施設見学のできる工場が、バスで行ける範囲であれば行きたいです。
u00000287,user,質問する,観光地がインドアかアウトドアか 観光地の予約要否,? ?,その観光地はインドアかアウトドアですか。また、予約が必要なのでしょうか。,インドアかアウトドアなのか、また、要予約なのですか。
u00000173,user,質問する,観光地の駐車場の有無 観光地の電話番号,? ?,ここに駐車場はありますか。それと、電話番号は何番ですか。,こちらの駐車場の有無を確認したいのと、電話番号を教えてもらえますか。
u00000665,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 午後,午後にこちらを観光したいのです。あと、ペットも同行させたいです。,ペットと一緒に、午後にここを観光したいです。
u00000001,user,別れの挨拶をする,,,今日はありがとうございました。,お世話になりました、ありがとうございます。
u00000654,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 夜,恋人と一緒に夜に行ける観光地を知りたいです。,夜、恋人とおすすめの観光地をに行きたいと考えています。
u00000047,user,質問する,観光地の名称 観光地の料金,? ?,この観光地の名前と、料金はわかりますか。,ここの観光地の名称を教えてください。あと、料金はいくらですか。
u00000922,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 秋,30分未満で秋に楽しめる観光地を検討しています。,秋に行って30分未満の滞在で楽しめる観光地に行きたいと思っています。
u00000498,user,教える,客の観光の同行者 客が希望する観光の季節,子供 希望なし,季節はいつでもいいので、子供と楽しめる観光地に行きたいと思っています。,季節は問いませんので、子供と一緒に楽しめる観光地を考えています。
u00000783,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 電車,滞在時間は30分未満ですが、電車で行ける観光地を検討しています。,電車を利用して行ける、30分未満で楽しめる観光地に行きたいです。
u00000524,user,教える,客の観光の同行者 客が希望する観光の季節,ペット 夏,夏にペットと一緒に行ける観光地に行きたいです。,ペットを連れて夏に楽しめる観光地を希望しています。
u00000968,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 春,春の日中におすすめの観光地を知りたいです。,日中に春を満喫できる観光地に行きたいです。
u00000898,user,教える,客が希望する食べ物 客がインドア派かアウトドア派か,スイーツ インドア,インドアで楽しめるスイーツが美味しい観光地に行きたいです。,インドア派におすすめの観光地でスイーツが食べたいです。
u00000175,user,質問する,観光地におすすめな人 観光地の駐車場の有無,? ?,この観光地はどんな人におすすめですか。また、車で行ったときに駐車場はありますか。,ここはどんな人におすすめの観光地ですか。駐車場の有無も確認したいのですが、ここに駐車場はありますか。
