id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001023,user,教える,客が観光にかけたい時間 客の趣味,90分以上 楽器演奏,90分以上楽器の演奏ができるところはありますか。,楽器の演奏が趣味で観光に1時間半以上かけたいです。
u00000683,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,なし インドア,一人でインドア的に楽しみたいです。,室内で一人で遊べる所がいいです。
u00000908,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 春,春頃行きたいです。,期間は未定で春がいいですね。
u00000536,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 夏,歴史に詳しい人と夏に行きたいです。,夏頃に知識のある人と行く予定です。
u00000242,user,質問する,観光地の待ち時間 観光地のWi-Fiの有無,? ?,そこではネットが出来るのか、待ち時間はどれくらいですか,待ち時間にWi-Fi使えますか。
u00000034,user,質問する,観光地がインドアかアウトドアか,?,そこはインドアかアウトドアかどちらで遊べますか。,そこは室内か外のどちらで楽しめますか。
u00000471,user,教える,客の観光の同行者 客が希望する食べ物,乳幼児 ステーキ,子供とステーキが食べたいです。,そこは家族で行ける焼肉屋はありますか。
u00000492,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 希望なし,子供と一緒でいつでもいいです。,子供と2人で良いところはありますか。
u00000454,user,教える,客の観光の同行者 客が希望する交通手段,ペット 徒歩,ペットと歩いて行けるところが良いです。,歩いてペットと散歩がしたいです。
u00000534,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 希望なし,知識のある人と行くつもりです。,歴史好きの知り合いと行ける良いところはありますか。
u00000891,user,教える,客の希望の観光時間帯 客が希望する食べ物,未定 ケーキバイキング,自由にケーキバイキングが食べられるところがいいです。,好きな時におなか一杯ケーキが食べたいです。
u00000016,user,質問する,観光地が雨天でも楽しめるか,?,雨でも楽しめるところですか。,天気を気にしないで済むところが良いです。
u00000041,user,質問する,観光地の名称 観光地のジャンル,? ?,そこの名前と内容は何ですか。,そこは何というところで何ができますか。
u00000931,user,教える,客が観光にかけたい時間 客が希望する観光の季節,60分以上90分未満 希望なし,60分から90分くらいで楽しめるところがいいです。,90分程度で遊べる場所でお願いします。
u00000284,user,質問する,観光地の待ち時間 観光地の予約要否,? ?,そこは予約は出来てたくさん時間はとれますか。,そこはすぐに行って大丈夫な所ですか。
u00000010,user,質問する,観光地の最寄り駅,?,そこは駅の近くですか。,駅からどれくらいの場所にありますか。
u00000260,user,質問する,観光地の飲食物持ち込みの可否 観光地の喫煙可否,? ?,そこは飲食物の持ち込みとたばこはOKですか。,そこは自由に休憩できる場所はありますか。
u00000697,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,家族 特になし,家族で楽しめれば何でも構いません。,家族で遊べるいい所はありますか。
u00000889,user,教える,客が観光にかけたい時間 客が希望する食べ物,90分以上 洋食,洋食が食べられて90分程度楽しめるところが良いです。,1時間半以上遊べて洋風レストランのある場所が良いです。
u00000787,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 希望なし,30分から60分程度遊びたいです。,1時間くらいで楽しめる場所はありますか。
