id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001750,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のWi-Fiの有無,黒塚古墳展示館 あり なし,黒塚古墳展示館には観光地の手荷物預かりはありますがWi-Fiはないです。,黒塚古墳展示館でしたらWi-Fiがあります。ですが、手荷物預かりはないです。
s00002588,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,今津運動公園 乳幼児への対応あり 入場時のアルコール消毒とマスクの着用,今津運動公園には乳幼児への対応をしてくれる設備があります。またコロナ対策でアルコール消毒とマスクの着用が必須で安全でおすすめです。,今津運動公園は入場時のアルコール消毒とマスクの着用が義務で設備も乳幼児のものがあって良いところです。
s00002036,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の喫煙可否,中尾山高原オートキャンプ場 不明 不明,中尾山高原オートキャンプ場はキャッシュレス決済可能か不明です。また喫煙ができるかも分からないです。,中尾山高原オートキャンプ場はキャッシュレス決済も喫煙もできるか分からないです。
s00002420,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,高森峠千本桜 あり 冬,高森峠千本桜なら駐車場もあって冬の時期もおすすめです。,冬の時期でもおすすめで駐車場もあるのが高森峠千本桜です。
s00001761,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のWi-Fiの有無,上杉神社 不可能 あり,上杉神社なら飲食物の持ち込みが不可能ですがWi-Fiはあります。,飲食物の持ち込みはダメですがWi-Fiがあるのが上杉神社です。
s00001167,system,情報を教える,観光地の名称 観光地のジャンル 観光地の最寄り駅,神楽の館 劇場・映画館・演芸場 坂之上,神楽の館のジャンルは劇場・映画館・演芸場で最寄り駅は坂之上です。,神楽の館の最寄り駅は坂之上でジャンルは劇場・映画館・演芸場になります。
s00000272,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,未定 30分未満,観光にかけたい時間は30分未満で同行者の方は未定ですね。,同行者の方は決まっていなくて観光にかけたい時間は30分未満ですね。
s00001703,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,豫章館 乳幼児への対応あり 一日あれば十分見て回れるような広さ,豫章館なら乳幼児への対応ありで一日あれば十分見て回れるような広さとなっています。,一日あれば十分見て回れるような広さなら豫章館です。またここは乳幼児への対応もあります。
s00000308,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,家族 30分未満,同行される方はご家族で観光にかける時間は30分未満ですね。,ご家族も一緒に行かれて観光にかけられる時間は30分もないということですね。
s00000644,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 90分以上,希望される観光の季節は春で観光にかけたい時間は90分以上ですね。,観光にかける時間は90分以上で季節は春が希望ですね。
