id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000428,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き インドア,歴史が好きな方と一緒にインドアを楽しむのは良いですね。,インドア体験を歴史好きな方とするのは良いですね。
s00001423,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,葛城山 90分以上 恋人,葛城山には90分以上、恋人の方と観光されるのをおすすめします。,葛城山観光には90分以上かかります。恋人の方と一緒に行かれることをおすすめします。
s00001817,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,果実の国カップルズ アウトドア 不明,果実の国カップルズはアウトドア体験ができます。Wi-Fiがあるかは不明です。,果実の国カップルズはアウトドア施設です。Wi-Fiが使えるかどうかはわかりません。
s00000596,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 インドア,インドアが好きな方が歩いて行くのは良いですね。,インドア派の方が徒歩で行かれるのは良いですね。
s00001104,system,情報を教える,観光地の名称 観光地におすすめな人,大石田町立歴史民俗資料館 子供,大石田町立歴史民俗資料館はお子さんにおすすめです。,大石田町立歴史民俗資料館は子供さんが楽しめると思います。
s00001317,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,道の駅みなみ波賀 ブルーベリー畑 90分以上 備中高梁,道の駅みなみ波賀 ブルーベリー畑は最寄駅が備中高梁で、観光には90分以上かかります。,道の駅みなみ波賀 ブルーベリー畑は備中高梁が一番近い駅で、90分以上かけて観光します。
s00001486,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,郡山市立美術館 女性 不可能,郡山市立美術館は女性におすすめで、雨の日は楽しむことができません。,郡山市立美術館は雨の日は無理ですが、特に女性が楽しめると思います。
s00000931,system,質問する,客の希望の観光時間帯 客が観光にかけたい時間,? ?,ご希望の観光時間帯はありますか？また、どれぐらい観光に時間をかけたいですか？,どのぐらいの時間帯に観光したいですか？また、観光にかける時間のご希望はありますか？
s00000118,system,好意的に承知する,客の名前（※） 客がインドア派かアウトドア派か,橋本 インドア,橋本様、インドア派なのはすごく良いですね。,橋本様はインドアがお好きなのですね。良いですね。
s00002237,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,鳥取市因幡万葉歴史館 夏,夏に行くのがぴったりな鳥取市因幡万葉歴史館がおすすめです。,夏の時期に行くのが良い鳥取市因幡万葉歴史館がおすすめです。
s00001950,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の予約要否,彩湖・道満グリーンパーク 不可能 可能,彩湖・道満グリーンパークは撮影はできません。予約はすることができます。,彩湖・道満グリーンパークは撮影不可です。予約は可能です。
s00002378,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,宇都宮城址公園 北関東道伊勢崎ICから国道17号、県道114号経由18km30分 子供,北関東道伊勢崎ICから国道17号、県道114号経由18km30分で着いて、子供が楽しめる宇都宮城址公園がおすすめです。,北関東道伊勢崎ICから国道17号と県道114号を経由して18km30分で行けて、お子さんにぴったりな宇都宮城址公園をおすすめしたいです。
s00000266,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,歴史的建造物 家族,ご家族と歴史的建造物を観光したいのですね。素敵ですね。,ご家族と一緒に歴史的な建造物を巡りたいのですね。良いですね。
s00001649,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,大町公園 乳幼児への対応あり 不明,大町公園は乳幼児への対応をしてもらえます。予約が必要かどうかはわかりません。,大町公園は乳幼児に対してきちんとケアがあります。予約については不明です。
s00000754,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,希望なし 30分以上60未満,観光時間帯の希望はなしですね。30分から60分程度観光したいということですね。素敵ですね。,どの時間帯に観光したいかの希望は無しで、30分から60分ほど観光に時間を使いたいということですね。良いですね。
s00001969,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の撮影可否,くじゅう連山 クレジットカード 不可能,くじゅう連山はクレジットカードが使えます。また、撮影することは出来ません。,くじゅう連山で利用できるキャッシュレス決済はクレジットカードです。また、撮影は不可です。
s00002481,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,天童市将棋資料館 子供 春,春にお子さんと行くことをおすすめする天童市将棋資料館が良いと思います。,春にお子さんと一緒が楽しめる天童市将棋資料館がおすすめです。
s00001659,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,霞城公園 乳幼児への対応なし 可能,霞城公園は乳幼児への対応がありません。また、予約することができます。,霞城公園は乳幼児に対してのケアがあります。また、予約が可能です。
s00002589,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,富士花鳥園 障害者への対応あり 入場時のアルコール消毒とマスクの着用,障害者への対応があって、入場の時にアルコール消毒とマスクの着用で新型コロナウイルス感染対策万全の富士花鳥園がおすすめです。,障害者に対する心遣いがあって、入場時のアルコール消毒とマスクの着用で新型コロナウイルス感染対策がばっちりの富士花鳥園が良いと思います。
s00001917,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のすいている曜日，時間帯,但馬安国寺 可能 不明,但馬安国寺は飲食物の持ち込みが可能です。また、空いている時間は不明です。,但馬安国寺は飲食物の持ち込みができません。また、いつ空いているのかはわかりません。
