id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000360,user,教える,客が観光にかけたい時間,90分以上,90分以上は観光地を見たいです。,最低でも90分以上は観光したいと思います。
u00000077,user,質問する,観光地の名称 観光地の手荷物預かりの有無,? ?,そこの観光地の名前や手荷物預かりの有無について教えてください。,どういう観光地で手荷物預かりがあるのか教えてください。
u00000197,user,質問する,観光地のお土産 観光地のすいている曜日，時間帯,? ?,その観光地にはどういうお土産があってどの曜日や時間帯が空いているか教えてください。,観光地のお土産の種類やすいている曜日や時間帯がどうなっているか教えてください。
u00001031,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 希望なし,観光にかける時間に特に希望はないですし、希望する観光の時間帯もないです。,観光にどのくらいの時間がかかっても良いです、また希望する観光時間帯もないです。
u00000473,user,教える,客の観光の同行者 客が希望する食べ物,友達 ビアレストラン,観光地で食べたいのはビアレストランが希望で友達と一緒に観光に行きます。,観光の同行者には友達が予定に入っていて食事はビアレストランが良いです。
u00001130,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き 公共交通機関,今日の同行者は歴史好きで交通手段は公共交通機関を使う予定です。,歴史が好きという人が一緒に行って交通手段は公共交通機関です。
u00000101,user,質問する,観光地の名称 観光地がインドアかアウトドアか,? ?,観光地所名称を教えてもらえますか？あと観光地がインドアかアウトドアかも教えてください。,インドアかアウトドアの観光地か教えてもらえますか？それと観光地の名前を教えて欲しいです。
u00000024,user,質問する,観光地の撮影可否,?,観光地で撮影絵をしても良いのでしょうか？,撮影ができる観光地かどうかえてください。
u00000722,user,教える,客が希望する交通手段 客が希望する観光の季節,希望なし 未定,交通手段はなんでも良くて観光する季節は決まってないです。,観光するシーズンは決まってなくて交通手段も特に希望はないです。
u00000258,user,質問する,観光地の撮影可否 観光地の飲食物持ち込みの可否,? ?,観光地での飲食物の持ち込みが可能かまた撮影もできるか教えてください。,観光地では撮影できるのでしょうか？また飲食物は持ち込んでも大丈夫でしょうか？
u00000504,user,教える,客の観光の同行者 客が希望する観光の季節,友達 希望なし,観光には友達が一緒に行く予定です。観光の季節は特に希望はないです。,友達が観光に同行する予定で観光の季節は希望はないです。
u00000971,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 冬,観光する時間帯は日中が希望で季節は冬が良いです。,観光の季節は冬で観光時間帯は日中を希望します。
u00000398,user,教える,客の名前 客の本日の交通手段,西村 徒歩,名前は西村といいます。今日の交通手段は徒歩です。,西村というものです。交通手段は今日は徒歩で行こうと思っています。
u00000818,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 電車,観光の時間帯は決まっておらず交通手段は電車の予定です。,希望の交通手段は電車で希望する観光時間帯は未定です。
u00000424,user,教える,客の観光の同行者 客が希望する交通手段,子供 電車,子供と一緒に観光に行く予定で希望する交通手段は電車です。,希望の交通手段は電車で観光には子供が同行します。
u00000887,user,教える,客が観光にかけたい時間 客が希望する食べ物,30分以上60未満 エスニック,観光には30分以上60分よりも短い時間で希望する食べ物はエスニックです。,観光地で食べたいのはエスニックで観光にかけたい時間は30分以上60分未満が良いです。
u00000753,user,教える,客が希望する交通手段 客が希望する観光の季節,徒歩 希望なし,希望する交通手段は徒歩で観光の季節には特に希望はないです。,観光の季節はどの季節でも良くて希望する交通手段は徒歩が希望です。
u00001140,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,朝 アウトドア,希望する観光時間帯は朝で私はアウトドア派です。,アウトドア派で観光時間帯は朝です。
u00000936,user,教える,客が観光にかけたい時間 客が希望する観光の季節,90分以上 未定,観光にかけたい時間は90分以上で観光の季節に特に決まってないです。,希望する観光の季節は未定で観光には最低でも90分以上かけたいです。
u00000096,user,質問する,観光地の名称 観光地の新型コロナウイルス感染対策,西郷隆盛像 ?,西郷隆盛像がある場所は新型コロナウイルス感染対策ができていますか？,新型コロナウイルス感染対策は西郷隆盛像があるところではしっかり対策されていますでしょうか？
